th, k, dim, num_points, par_mean, par_simd_mean, par_single_mean, par_stdev, par_simd_stdev, par_single_stdev
2, 5, 2, 1000, 1.92163, 1.78753, 1.9536, 0.301676, 0.181428, 0.348229
2, 5, 2, 5000, 1.75903, 1.78941, 1.84471, 0.188732, 0.268257, 0.182908
2, 5, 2, 10000, 1.62274, 1.78113, 1.8371, 0.158065, 0.126254, 0.161812
2, 5, 2, 50000, 1.74519, 1.76725, 1.74161, 0.0584536, 0.0530508, 0.0915329
2, 5, 2, 100000, 1.70518, 1.72604, 1.72355, 0.0264213, 0.0265042, 0.11487
2, 5, 2, 500000, 1.70719, 1.72218, 1.7366, 0.0366236, 0.0283234, 0.0668291
2, 5, 2, 1000000, 1.71498, 1.69968, 1.76406, 0.0479623, 0.0851282, 0.0481482
2, 5, 5, 1000, 1.62464, 1.78283, 1.72184, 0.275259, 0.309364, 0.147007
2, 5, 5, 5000, 1.7395, 1.63871, 1.67232, 0.105783, 0.151355, 0.143337
2, 5, 5, 10000, 1.73323, 1.76174, 1.74058, 0.0919538, 0.157824, 0.124393
2, 5, 5, 50000, 1.75233, 1.75032, 1.76404, 0.0847621, 0.0465797, 0.075763
2, 5, 5, 100000, 1.72468, 1.74441, 1.77611, 0.0748338, 0.0475698, 0.11028
2, 5, 5, 500000, 1.75296, 1.77536, 1.69756, 0.054566, 0.056087, 0.0332568
2, 5, 5, 1000000, 1.77176, 1.7657, 1.7255, 0.0656249, 0.0907177, 0.0183379
2, 5, 8, 1000, 1.56407, 1.80666, 1.85344, 0.24597, 0.236746, 0.110434
2, 5, 8, 5000, 1.72964, 1.70052, 1.72835, 0.0960663, 0.171017, 0.0899397
2, 5, 8, 10000, 1.7443, 1.76135, 1.66451, 0.0912612, 0.136047, 0.196192
2, 5, 8, 50000, 1.78204, 1.79074, 1.72846, 0.0225831, 0.0061484, 0.0423034
2, 5, 8, 100000, 1.78058, 1.76454, 1.775, 0.0164018, 0.0273967, 0.0454401
2, 5, 8, 500000, 1.73759, 1.75901, 1.78524, 0.0171263, 0.0160504, 0.0166228
2, 5, 8, 1000000, 1.7524, 1.7178, 1.78741, 0.0390312, 0.0604119, 0.0205062
4, 5, 2, 1000, 2.45483, 2.47614, 2.89516, 0.43655, 0.486053, 0.693364
4, 5, 2, 5000, 2.74586, 2.71578, 2.97481, 0.336831, 0.390761, 0.414558
